name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Agent Inbox,,https://github.com/langchain-ai/agent-inbox,logos/b8844550126696df728798d295a26aa5cff40fa739d6b76051ce1e8abfef47a8.svg,,,,,,,,,"UX patterns and inboxes letting humans review, approve, or correct agent actions mid-run.",,,,,,,,,,,,Interfaces,UX / Human in the Loop,,,,,,,,,,,,,,,,,,,,,,,,
Agent Lightning,,https://github.com/microsoft/agent-lightning,logos/908e689bb38a688ee4dc4d919385164fec8dcf8710b4e59e77b60a12845827c4.svg,,,,,,,,,Training and fine-tuning frameworks aimed at producing agent-capable models.,,,,,,,,,,,,Models & Inference,Models / Trainers,,,,,,,,,,,,,,,,,,,,,,,,
Agent Orchestrator,,https://github.com/ComposioHQ/agent-orchestrator,logos/70aae6439894deaad291f08f376e422a7f34380bde9f96a186bbf96fdee6908b.svg,,,,,,,,,"Coordination layers that route tasks across multiple agents, models, or workers — the conductor rather than the individual performer.",,,,,,,,,,,,Frameworks & Runtimes,Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
Agent Passport,,https://agentpassport.com/,logos/ac565d7c94111d4f7a645c73b3341207909ec15ce5b0cad7e0ae11265fb6a430.svg,,,,,,,,,"Protocols establishing verifiable identity, credentials, and authority for autonomous agents acting on behalf of users.",,,,,,,,,,,,Safety & Governance,Identity and Auth / Agent Identity Protocols,,,,,,,,,,,,,,,,,,,,,,,,
Agent Skills,,https://github.com/addyosmani/agent-skills,logos/b855931a8c34107245eb81d65edc2a3fab458af76536d4088224da3bda2f245b.svg,,,,,,,,,"Packaged, reusable agent skills—capability bundles with guides, registries, and interoperability standards.",,,,,,,,,,,,Dev Tools & Skills,Skills,,,,,,,,,,,,,,,,,,,,,,,,
Agent Skills (tech-leads-club),,https://github.com/tech-leads-club/agent-skills,logos/5b966dea1c71b5bfaae253e9da637a2c730a4b7fe3d0c27ff3fbf8081abda870.svg,,,,,,,,,Indexes and directories for discovering published agent skills across sources.,,,,,,,,,,,,Dev Tools & Skills,Skills / Registries,,,,,,,,,,,,,,,,,,,,,,,,
Agent Squad,,https://github.com/awslabs/agent-squad,logos/ee01709fa97bab18015186ee5c6496b9295a1ad969619edc2d92de7f8e0bdc05.svg,,,,,,,,,"Orchestration frameworks tied to a specific cloud, vendor, or platform ecosystem.",,,,,,,,,,,,Frameworks & Runtimes,Orchestration / Platform-Specific,,,,,,,,,,,,,,,,,,,,,,,,
Agent UI,,https://github.com/agno-agi/agent-ui,logos/704c72d4df9a7f4cdef2a4e99a80f5f33a763a3c8a8c639e901b3f526d0379ac.svg,,,,,,,,,Chat-style frontends that render agent conversations as threaded message UIs.,,,,,,,,,,,,Interfaces,Frontends / Chat UIs,,,,,,,,,,,,,,,,,,,,,,,,
agent-os,,https://github.com/rivet-dev/agent-os,logos/91d935c9602a4741d9c30f7a5139c92d9aca313795d32ce7419b598c551f9398.svg,,,,,,,,,"Operating-system-style environments purpose-built as agent hosts, where the OS itself exposes primitives for agent perception and action.",,,,,,,,,,,,Frameworks & Runtimes,Environments / OS,,,,,,,,,,,,,,,,,,,,,,,,
Agent-Reach,,https://github.com/Panniantong/Agent-Reach,logos/28b6035d891722513a2a85b4da814d4735fffa47d0e2873b12d935c5101be8fd.svg,,,,,,,,,Pipelines that pull documents from sources and prepare them for embedding and indexing in a RAG stack.,,,,,,,,,,,,"Context, Memory & Data",Data / RAG / Ingestion,,,,,,,,,,,,,,,,,,,,,,,,
Agent-S,,https://github.com/simular-ai/Agent-S,logos/855f5de82fb9c2b5aa33ccf511c0e4423a4c4f7a901b215834a49fa3b8099084.svg,,,,,,,,,"Frameworks specialized for computer-use agents — primitives for screen observation, GUI control, and desktop task loops.",,,,,,,,,,,,Frameworks & Runtimes,Frameworks / Computer Use,,,,,,,,,,,,,,,,,,,,,,,,
agent-scan,,https://github.com/snyk/agent-scan,logos/ee01709fa97bab18015186ee5c6496b9295a1ad969619edc2d92de7f8e0bdc05.svg,,,,,,,,,"Security tooling for agent systems — sandboxing, red-teaming, control planes, and automated defense.",,,,,,,,,,,,Safety & Governance,Security,,,,,,,,,,,,,,,,,,,,,,,,
agent.ai,,https://agent.ai/,logos/afd89805c88ea90cc66384fffcf498b943eb3c8618b13932fcbd8e23df9af029.svg,,,,,,,,,Open networks where agents from different authors or vendors can be discovered and invoked.,,,,,,,,,,,,Agents,Networks,,,,,,,,,,,,,,,,,,,,,,,,
Agentation,,https://github.com/benjitaylor/agentation,logos/886fb8d4c9e3943dc5311fc6032aa4b85fbb1a5ab2ff8a20ff3fe5a00c6d19de.svg,,,,,,,,,Shaping user or tool feedback into prompts so models incorporate it reliably on the next turn.,,,,,,,,,,,,Dev Tools & Skills,Prompts / Feedback Formatting,,,,,,,,,,,,,,,,,,,,,,,,
AgentBench,,https://github.com/THUDM/AgentBench,logos/80f609e6260d296d0dcf4ef4059fdeede5a5dd2dd804a056b297175fcb109122.svg,,,,,,,,,"Benchmarks measuring broad, open-ended assistant capability across mixed reasoning, tool-use, and knowledge tasks.",,,,,,,,,,,,Observability & Evals,Benchmarks / General Assistant Benchmarks,,,,,,,,,,,,,,,,,,,,,,,,
AgentChattr,,https://github.com/bcurts/agentchattr,logos/fd6e5552bb58c7ccd69d7d50350ba08d826f7f073cb7774e34718f06cfb0d210.svg,,,,,,,,,"Protocols, channels, and libraries that let independent agents address and message one another directly.",,,,,,,,,,,,Agents,Agent to Agent,,,,,,,,,,,,,,,,,,,,,,,,
AgentForge,,https://github.com/DataBassGit/AgentForge,logos/2c9540aebdd3af86f76fd07fdf677b5986d0a287d4107d584df280de4ec36ee4.svg,,,,,,,,,Programming-model libraries and SDKs for building agents — the code-facing abstractions developers import to define agent behavior.,,,,,,,,,,,,Frameworks & Runtimes,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
AgentGateway,,https://github.com/agentgateway/agentgateway,logos/be38f5900ccedf2f025933012682ea8d402771a2cb96b1ee6371b6804e71b073.svg,,,,,,,,,"Unified LLM gateway proxies exposing many providers behind one API with auth, logging, and rate limiting.",,,,,,,,,,,,Models & Inference,Inference / Proxy / Gateways,,,,,,,,,,,,,,,,,,,,,,,,
AgentGuard,,https://github.com/GoPlusSecurity/agentguard,logos/afd89805c88ea90cc66384fffcf498b943eb3c8618b13932fcbd8e23df9af029.svg,,,,,,,,,"Security tooling for agent systems — sandboxing, red-teaming, control planes, and automated defense.",,,,,,,,,,,,Safety & Governance,Security,,,,,,,,,,,,,,,,,,,,,,,,
Agentic AI Industry Foundation (AAIF),,https://aaif.io/,logos/3c922f4a5a05bb3b74226233855af22c0de8ff6188233a435149bb584b12d0d3.svg,,,,,,,,,"Non-profit foundations supporting agentic AI standards, research, or community.",,,,,,,,,,,,Ecosystem,Organisations / Foundations,,,,,,,,,,,,,,,,,,,,,,,,
Agentic Context Engine,,https://github.com/kayba-ai/agentic-context-engine,logos/57b3a0a7f4f13670ca4210205362c14e0e232fe20628f20c1bdab06d6fa9ab0f.svg,,,,,,,,,Memory systems that iteratively refine or compress prior context through feedback loops.,,,,,,,,,,,,"Context, Memory & Data",Memory / Regressive,,,,,,,,,,,,,,,,,,,,,,,,
Agentic Flow,,https://github.com/ruvnet/agentic-flow,logos/1b6cf07c6e58303cc95bbf4fa0117c4e298b0a0399077bc454306a82a3fed211.svg,,,,,,,,,Capability-aware routers that classify prompts and dispatch to the best-suited model.,,,,,,,,,,,,Models & Inference,Inference / Routers / Intelligent,,,,,,,,,,,,,,,,,,,,,,,,
AgentKit,,https://github.com/coinbase/agentkit,logos/2c9540aebdd3af86f76fd07fdf677b5986d0a287d4107d584df280de4ec36ee4.svg,,,,,,,,,"Toolkits giving agents financial capabilities — wallets, payment rails, and transaction execution.",,,,,,,,,,,,Tools & Integrations,Actions / Financial Tools,,,,,,,,,,,,,,,,,,,,,,,,
AgentMemory,,https://github.com/rohitg00/agentmemory,logos/377b8de4b342daf9ad45a50f2804f004cb3d2f90beb57b60179bc88ab0d5b4c7.svg,,,,,,,,,"Persistent memory systems that let agents remember across sessions, users, and time.",,,,,,,,,,,,"Context, Memory & Data",Memory,,,,,,,,,,,,,,,,,,,,,,,,
AgentOps,,https://github.com/AgentOps-AI/agentops,logos/ce6ec09d3ed95c6c7606b2cb5910c3e86b5dad8e63cd6cb1a6b2b6825e3567c7.svg,,,,,,,,,"Tracking token spend, API costs, and budget alerts across models, agents, and tenants.",,,,,,,,,,,,Observability & Evals,Operations / Cost Monitoring,,,,,,,,,,,,,,,,,,,,,,,,
AgentOps Replay,,https://github.com/AgentOps-AI/agentops,logos/d099734686baad66fdaae7c3d49e99d97b401f3835647543998c0dc80699de45.svg,,,,,,,,,"Tools that replay captured agent traces step-by-step, letting developers branch, rewind, and re-run from any point.",,,,,,,,,,,,Observability & Evals,Evals and Experiment Tracking / Trace Replay & Time-Travel Debugging,,,,,,,,,,,,,,,,,,,,,,,,
AgentRC,,https://github.com/microsoft/agentrc,logos/c36b66b0f8df74398e554d05a8df22755fdeb33d6c731e2b266d60cd7f85b2ae.svg,,,,,,,,,Tools that perform repository-wide refactors and structural rewrites using LLM-guided transformations.,,,,,,,,,,,,Dev Tools & Skills,Dev Tools / Repo Refactoring,,,,,,,,,,,,,,,,,,,,,,,,
AgentSkills,,https://github.com/agentskills/agentskills,logos/377b8de4b342daf9ad45a50f2804f004cb3d2f90beb57b60179bc88ab0d5b4c7.svg,,,,,,,,,"Open specifications defining how agent skills are authored, packaged, and loaded.",,,,,,,,,,,,Dev Tools & Skills,Skills / Standards,,,,,,,,,,,,,,,,,,,,,,,,
AgentsMesh,,https://github.com/AgentsMesh/AgentsMesh,logos/be38f5900ccedf2f025933012682ea8d402771a2cb96b1ee6371b6804e71b073.svg,,,,,,,,,"Multi-agent workspace environments where users manage, converse with, and orchestrate several agents in one place.",,,,,,,,,,,,Interfaces,Workspaces,,,,,,,,,,,,,,,,,,,,,,,,
AgentTorch,,https://github.com/AgentTorch/AgentTorch,logos/377b8de4b342daf9ad45a50f2804f004cb3d2f90beb57b60179bc88ab0d5b4c7.svg,,,,,,,,,Frameworks for running multi-agent experiments at population scale — thousands to millions of agents.,,,,,,,,,,,,Agents,Multiagent / Large Scale Experiments,,,,,,,,,,,,,,,,,,,,,,,,
AgentVerse,,https://github.com/Peiiii/AgentVerse,logos/68074d6aad0bb28fd836e1c5017be248a1383c7114c940a834c2f6b4865eb88c.svg,,,,,,,,,"Environments where multiple agents cooperate on shared tasks via roles, dialogue, or negotiation.",,,,,,,,,,,,Agents,Agent Collaboration,,,,,,,,,,,,,,,,,,,,,,,,
AI Agent Store,,https://aiagentstore.ai/,logos/add5ee4101ef416589a03f2dd74c6001a5026db4a9745d8bda1941b2aad1b558.svg,,,,,,,,,"Marketplaces where agents and their actions are listed, discovered, and transacted by other agents or humans.",,,,,,,,,,,,Tools & Integrations,Actions / Marketplaces,,,,,,,,,,,,,,,,,,,,,,,,
AI Data Science Team,,https://github.com/business-science/ai-data-science-team,logos/b4e53a27543dd2bb1f5426cf811b6c3e5d798b08b2d1f24d488282f0546ee2d6.svg,,,,,,,,,Pre-configured agent teams targeting a specific workflow such as data science or research.,,,,,,,,,,,,Agents,Teams,,,,,,,,,,,,,,,,,,,,,,,,
AI Maestro,,https://github.com/23blocks-OS/ai-maestro,logos/54c5daddd58791b4e0a3ef46b6791f849d1371e7736f520df898f0cb7cabfbe8.svg,,,,,,,,,"Coordination layers that route tasks across multiple agents, models, or workers — the conductor rather than the individual performer.",,,,,,,,,,,,Frameworks & Runtimes,Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
AI Town,,https://github.com/a16z-infra/ai-town,logos/b235fcbdd5fcc603357e3965fed5c6faf7b2e944077693c478714172ddbe0fc7.svg,,,,,,,,,"Starter kits for building multi-agent social simulations with personas, worlds, and interactions.",,,,,,,,,,,,Frameworks & Runtimes,Starter Kits / Social Simulations,,,,,,,,,,,,,,,,,,,,,,,,
AI-Trader,,https://github.com/HKUDS/AI-Trader,logos/271924cb3635adbfb5471e1cdc913d2f35ec72665ed04417e6e7c3ef96bc272d.svg,,,,,,,,,Autonomous agents that execute financial trading strategies end-to-end.,,,,,,,,,,,,Agents,Autonomous / Trading,,,,,,,,,,,,,,,,,,,,,,,,
AICGSecEval,,https://github.com/Tencent/AICGSecEval,logos/baa09aba9140f1b446ba124356da95bbffadb127769da81376dc3377b3f55814.svg,,,,,,,,,Standardized task suites and datasets used to score agent or LLM capability under controlled conditions.,,,,,,,,,,,,Observability & Evals,Benchmarks,,,,,,,,,,,,,,,,,,,,,,,,
Aider,,https://github.com/Aider-AI/aider,logos/3754b4a8bb5ed2cf002d110784108cbf95807b055a5171cef129aa0c16e02707.svg,,,,,,,,,"Autonomous software-engineering harnesses that drive an LLM through multi-step code edits, runs, and tests.",,,,,,,,,,,,Dev Tools & Skills,Dev Tools / Coding Agent SWE Harnesses,,,,,,,,,,,,,,,,,,,,,,,,
AIOpsLab,,https://github.com/microsoft/AIOpsLab,logos/b8844550126696df728798d295a26aa5cff40fa739d6b76051ce1e8abfef47a8.svg,,,,,,,,,Programming-model libraries and SDKs for building agents — the code-facing abstractions developers import to define agent behavior.,,,,,,,,,,,,Frameworks & Runtimes,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
Airweave,,https://github.com/airweave-ai/airweave,logos/2ef55c7d44e07aa8f569099b1e04faf7ae91bd8fbbb55a3b31851ed601f823d4.svg,,,,,,,,,"Retrieval-Augmented Generation stacks: engines, ingestion, rerankers, and KG builders that feed LLMs.",,,,,,,,,,,,"Context, Memory & Data",Data / RAG,,,,,,,,,,,,,,,,,,,,,,,,
AIUC-1,,https://www.aiuc-1.com/,logos/c50e84911ce114c8515f5d3155a9153569aeb12ca0238d9a66cd9fc600cec197.svg,,,,,,,,,Proposed agent-ecosystem standards still in draft — not yet widely implemented or ratified.,,,,,,,,,,,,Tools & Integrations,Standards / Proposed,,,,,,,,,,,,,,,,,,,,,,,,
Anchor Browser,,https://anchorbrowser.io/,logos/d50de16fb7f14492a80c1d513c6a8c1caeb9c0268f12ed61d9e65e6d7ebe1aed.svg,,,,,,,,,"Hosted browser infrastructure providing managed sessions, proxies, and captchas for agent automation at scale.",,,,,,,,,,,,Tools & Integrations,Actions / Browser Automation / Cloud Browser Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,
AP2 (Agent Payments Protocol),,https://github.com/google-agentic-commerce/AP2,logos/fbb51d41ab5f6d1846a8658d5c7b899527726a3866a22dc2dc71b7fe3f5256ab.svg,,,,,,,,,"Protocols establishing verifiable identity, credentials, and authority for autonomous agents acting on behalf of users.",,,,,,,,,,,,Safety & Governance,Identity and Auth / Agent Identity Protocols,,,,,,,,,,,,,,,,,,,,,,,,
Arcade.dev,,https://www.arcade.dev/,logos/fbcacf1c15ce19412ad995978146c101ea162dd13b5e213748c71a78a2bd4ce0.svg,,,,,,,,,"Hosted proxies that handle OAuth, credentials, and tool invocation on behalf of agents across many SaaS APIs.",,,,,,,,,,,,Tools & Integrations,Actions / Authenticated Tool Proxies,,,,,,,,,,,,,,,,,,,,,,,,
AutoGen,,https://github.com/microsoft/autogen,logos/c662718098408e4fb4b2fe36a3379fc6655288fc58d86d43a75b4115c9595324.svg,,,,,,,,,Programming-model libraries and SDKs for building agents — the code-facing abstractions developers import to define agent behavior.,,,,,,,,,,,,Frameworks & Runtimes,Frameworks,,,,,,,,,,,,,,,,,,,,,,,,
BAML,,https://github.com/BoundaryML/baml,logos/3ccf87b1c0ea344bae02af9f2c8556d7a9ebd1a08717fd62ce5ec55550eb860c.svg,,,,,,,,,"Gateways that enforce typed, schema-valid outputs from LLMs via constrained decoding, grammars, or retry loops.",,,,,,,,,,,,Models & Inference,Inference / Structured Output Gateways,,,,,,,,,,,,,,,,,,,,,,,,
BankrBot Skills,,https://github.com/BankrBot/skills,logos/07c3cf67e4249a4431dc4598b91e286a8dbb3291e3d5739c14de392ce177ec04.svg,,,,,,,,,"Tools where an agent generates, configures, or spawns new agents autonomously.",,,,,,,,,,,,Agents,Autonomous Agent Creation,,,,,,,,,,,,,,,,,,,,,,,,
be-more-agent,,https://github.com/brenpoly/be-more-agent,logos/9de01ac1ea896a79cf1421070bbffef6a6d2c9fc1ed11d012d8f3f2d467fb625.svg,,,,,,,,,Agent runtimes for single-board computers like Raspberry Pi and similar edge hardware.,,,,,,,,,,,,Builders & Platforms,On Device Agents / SBCs,,,,,,,,,,,,,,,,,,,,,,,,
Biomni,,https://github.com/snap-stanford/Biomni,logos/fd07f7fe5f12337c581d2a2b4691243c88a28b1574800a41447e7effa755e2fa.svg,,,,,,,,,Agents tailored to biotech and life-sciences research workflows.,,,,,,,,,,,,Agents,Domain Specific / Biotech,,,,,,,,,,,,,,,,,,,,,,,,
Bolna,,https://github.com/bolna-ai/bolna,logos/01a3c4174825432167532d3da868fe1dd706bce316c8bfb98e92326a05e06795.svg,,,,,,,,,"Voice action tools letting agents place calls, speak, and handle telephony-grade audio interactions.",,,,,,,,,,,,Tools & Integrations,Actions / Voice,,,,,,,,,,,,,,,,,,,,,,,,
BotSharp,,https://github.com/SciSharp/BotSharp,logos/7fcc7a9a54cf64f032efc9e1c0c867e31e2fd63c24bf164bbecf2c6ace53dd09.svg,,,,,,,,,.NET-ecosystem agent frameworks — C#/F# libraries for building agents on the .NET runtime.,,,,,,,,,,,,Frameworks & Runtimes,Frameworks / .NET,,,,,,,,,,,,,,,,,,,,,,,,
Braintrust,,https://www.braintrust.dev/,logos/3e88632f1280fa3907d0990ad429bd0d8e8d5063f0234d8a8be1179a9712da93.svg,,,,,,,,,"Tools that replay captured agent traces step-by-step, letting developers branch, rewind, and re-run from any point.",,,,,,,,,,,,Observability & Evals,Evals and Experiment Tracking / Trace Replay & Time-Travel Debugging,,,,,,,,,,,,,,,,,,,,,,,,
Browserbase,,https://www.browserbase.com/,logos/2e339a7dd103545aa5f6be24d81129faf375f6793f74e8021d0102d003c18cf7.svg,,,,,,,,,"Hosted browser infrastructure providing managed sessions, proxies, and captchas for agent automation at scale.",,,,,,,,,,,,Tools & Integrations,Actions / Browser Automation / Cloud Browser Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,
BrowserOS,,https://github.com/browseros-ai/BrowserOS,logos/32f5af72b3956ac837790b52db5b92c978621cdd1470aa9f36aaace31fd337ab.svg,,,,,,,,,Full browser products with native AI/agent capabilities built into the user-facing application.,,,,,,,,,,,,Tools & Integrations,Actions / AI Browsers,,,,,,,,,,,,,,,,,,,,,,,,
Bub,,https://github.com/bubbuild/bub,logos/caa855fa74d73bfd441b4598535d0b766132f15c00f71a8f6ff160f13d75c8fd.svg,,,,,,,,,"Agents given a persistent persona, voice, or identity as their primary design feature.",,,,,,,,,,,,Agents,Personification,,,,,,,,,,,,,,,,,,,,,,,,
CAMEL,,https://github.com/camel-ai/camel,logos/051d19fd23c66d9333e37fad787edc2a2a9306b23f3071be96b6d2a630bfdd1a.svg,,,,,,,,,"Frameworks whose core abstraction is a team of cooperating agents — roles, messaging, and group workflows as first-class primitives.",,,,,,,,,,,,Frameworks & Runtimes,Frameworks / Multiagent Orchestration,,,,,,,,,,,,,,,,,,,,,,,,
Claude Computer Use Demo,,https://github.com/anthropics/anthropic-quickstarts/tree/main/computer-use-demo,logos/94266427a4dca2c0428a77a8bcd9e6bd539dfa6785df8f17bd6bcd17029b7a89.svg,,,,,,,,,Harnesses that run computer-use agents locally on the user's own machine.,,,,,,,,,,,,Agents,Computer Use / Local Computer-Use Harnesses,,,,,,,,,,,,,,,,,,,,,,,,
ClawRouter,,https://github.com/BlockRunAI/ClawRouter,logos/7e786fef948cdfc753feb43656492772d9e335e0beeeec12798bd5f33b9eed4a.svg,,,,,,,,,Routers specialised for dispatching tool calls to the model best suited to execute them.,,,,,,,,,,,,Models & Inference,Inference / Routers / Tool Specific,,,,,,,,,,,,,,,,,,,,,,,,
cmux,,https://github.com/manaflow-ai/cmux,logos/64376d8c4812a98a3e9ed065936cb00a30890d5b37b5fb9368ec9c81d145db10.svg,,,,,,,,,"macOS-native computer-use runtimes controlling the Mac via AppleScript, accessibility, or native APIs.",,,,,,,,,,,,Tools & Integrations,Actions / Computer Use / Platform Specific / macOS,,,,,,,,,,,,,,,,,,,,,,,,
Cognee,,https://github.com/topoteretes/cognee,logos/0d8439fe452e0b6bb7150abbb66f93e667a4cc747077689d553ef1998d446e19.svg,,,,,,,,,"Persistent memory systems that let agents remember across sessions, users, and time.",,,,,,,,,,,,"Context, Memory & Data",Memory,,,,,,,,,,,,,,,,,,,,,,,,
Cohere Rerank,,https://cohere.com/rerank,logos/046f5b48e15b4c8ad58d2c42acdd109d587173282cbb8d3ca06db84fc2aaa062.svg,,,,,,,,,Models and services that reorder retrieved candidates by relevance before they reach the LLM.,,,,,,,,,,,,"Context, Memory & Data",Data / RAG / Rerankers,,,,,,,,,,,,,,,,,,,,,,,,
Coinbase CDP AgentKit Wallets,,https://github.com/coinbase/agentkit,logos/08326d518885f7b320ddda11fb980b4bcb8a674f1b0a864e15ecb57bdccc2264.svg,,,,,,,,,"Wallet infrastructure giving agents custody, signing, and balance management for on-chain or fiat funds.",,,,,,,,,,,,Tools & Integrations,Actions / Financial Tools / Agent Wallets,,,,,,,,,,,,,,,,,,,,,,,,
Composio,,https://github.com/ComposioHQ/composio,logos/3b15210e8cedf0f2fd2313265c2b768b781230284c61d69045350436912e9b6a.svg,,,,,,,,,Generic integration/connector libraries exposing many third-party APIs as agent-callable tools.,,,,,,,,,,,,Tools & Integrations,Actions / Integrations,,,,,,,,,,,,,,,,,,,,,,,,
Concordia,,https://github.com/google-deepmind/concordia,logos/6dc0323a1db631e2230125c52db2a8124b9c1385af289970c7d2ac5971e3f4b9.svg,,,,,,,,,"Frameworks for simulating populations of agents in social settings — generative agents, games, and behavioral experiments.",,,,,,,,,,,,Frameworks & Runtimes,Frameworks / Social Simulations,,,,,,,,,,,,,,,,,,,,,,,,
